Udsagn,DISC
"Jeg tager gerne styring, når det er nødvendigt.",D
Jeg træffer beslutninger hurtigt.,D
Jeg presser på for at få ting gennemført.,D
Jeg kan lide at have kontrol over situationen.,D
Jeg sætter gerne ambitiøse mål.,D
Jeg drives af konkurrence.,D
Jeg går direkte til handling fremfor at diskutere for længe.,D
Jeg går direkte til sagen.,D
Jeg finder hurtigt løsninger på problemer.,D
Jeg bliver motiveret af at overgå mig selv.,D
Jeg er villig til at tage svære beslutninger.,D
"Jeg kan lide at være den, der bestemmer retningen.",D
"Jeg bliver utålmodig, hvis ting går langsomt.",D
"Jeg tager ansvar, selv under pres.",D
Jeg har mod på at tage risici for at nå et mål.,D
Jeg sætter højere tempo end andre.,D
"Jeg siger min mening, selvom det er upopulært.",D
Jeg skubber på for at få resultater.,D
Jeg bryder mig ikke om at spilde tid.,D
"Jeg vil gerne være den, der bestemmer.",D
Jeg presser andre for at få ting gjort.,D
Jeg tager chancer for at vinde.,D
Jeg beslutter hurtigt uden alle detaljer.,D
Jeg udfordrer andres beslutninger.,D
Jeg kan lide at inspirere andre.,I
Jeg motiveres af ros og anerkendelse.,I
Jeg taler gerne foran en gruppe.,I
Jeg kan hurtigt skabe kontakt til fremmede.,I
Jeg får energi af at være sammen med mennesker.,I
Jeg nyder at arbejde i et team.,I
Jeg er inspirerende i min kommunikation.,I
Jeg starter ofte samtaler.,I
Jeg deler gerne mine idéer.,I
"Jeg er optimistisk, selv når tingene er svære.",I
Jeg nyder at være centrum for opmærksomhed.,I
Jeg skaber en positiv stemning omkring mig.,I
Jeg er overbevisende i min kommunikation.,I
Jeg er god til at få andre med på idéer.,I
Jeg får energi af sociale arrangementer.,I
Jeg kan lide at netværke.,I
Jeg bruger humor i min kommunikation.,I
Jeg er åben om mine følelser.,I
Jeg fortæller ofte historier.,I
Jeg komplimenterer andre.,I
Jeg er god til smalltalk.,I
Jeg deler mine resultater med andre.,I
Jeg er entusiastisk i min tilgang.,I
"Jeg viser glæde, når jeg møder folk.",I
Jeg sætter pris på pålidelige mennesker.,S
Jeg undgår helst hastige forandringer.,S
Jeg holder fast i aftaler.,S
Jeg værdsætter tryghed i hverdagen.,S
"Jeg er loyal over for mennesker, jeg arbejder med.",S
Jeg er konsekvent i mine handlinger.,S
Jeg giver mig tid til at hjælpe andre.,S
Jeg skaber ro i en gruppe.,S
"Jeg er tålmodig, selv når ting tager tid.",S
"Jeg undgår konflikter, hvis muligt.",S
Jeg arbejder systematisk for at undgå fejl.,S
Jeg værdsætter stabilitet frem for spænding.,S
Jeg følger processer konsekvent.,S
Jeg foretrækker langsigtede løsninger.,S
Jeg værner om mine relationer.,S
Jeg hjælper andre med at finde ro.,S
Jeg bevarer overblikket i pressede situationer.,S
Jeg kan lide forudsigelighed.,S
Jeg skaber tryghed for andre.,S
Jeg tilpasser mig andres behov.,S
Jeg undgår konfrontation.,S
Jeg sætter pris på stabilt arbejdsmiljø.,S
Jeg foretrækker faste rutiner.,S
Jeg er støttende over for kollegaer.,S
Jeg foretrækker fakta frem for gætterier.,C
"Jeg analyserer ting grundigt, før jeg handler.",C
Jeg arbejder bedst med klare retningslinjer.,C
Jeg undgår fejl ved at være grundig.,C
"Jeg følger regler, selv når ingen ser det.",C
"Jeg fokuserer på detaljer, andre overser.",C
Jeg dokumenterer mit arbejde omhyggeligt.,C
Jeg planlægger opgaver i detaljer.,C
Jeg foretrækker klare standarder frem for fri fortolkning.,C
Jeg bliver frustreret over uorden.,C
Jeg værdsætter præcision.,C
Jeg dobbelttjekker mit arbejde.,C
Jeg er systematisk i min tilgang.,C
Jeg lægger vægt på kvalitet frem for hastighed.,C
Jeg indsamler alle data før beslutning.,C
Jeg arbejder struktureret.,C
Jeg undgår at tage forhastede beslutninger.,C
Jeg gennemgår mine fejl for at lære.,C
"Jeg sikrer, at alt er korrekt.",C
Jeg er metodisk i min tilgang.,C
Jeg undgår risici uden tilstrækkelig information.,C
Jeg bruger tid på at forstå regler.,C
Jeg anvender standardprocedurer.,C
Jeg arbejder efter checklister.,C
